Company	Stock_Code	Industry	Index
TIGER SYNERGY BERHAD	7079	UNKNOWN	Others
TIMBERWELL BHD	7854	UNKNOWN	Others
TIME DOTCOM BHD	5031	UNKNOWN	Others
TIONG NAM LOGISTICS HOLDINGS	8397	TRANSPORTATION & LOGISTICS	Others
TITIJAYA LAND BERHAD	5239	PROPERTY	Others
TMC LIFE SCIENCES BHD	101	HEALTH CARE	Others
TOMEI CONSOLIDATED BHD	7230	UNKNOWN	Others
TOMYPAK HOLDINGS BHD	7285	INDUSTRIAL PRODUCTS & SERVICES	Others
TONG HERR RESOURCES BHD	5010	INDUSTRIAL PRODUCTS & SERVICES	Others
TOPVISION EYE SPECIALIST BERHAD	3013	UNKNOWN	Others
TOWER REITS	5111	UNKNOWN	Others
TOYO INK GROUP BHD	7173	UNKNOWN	Others
TPC PLUS BHD	7176	UNKNOWN	Others
TRANSOCEAN HOLDINGS BHD	7218	UNKNOWN	Others
TRC SYNERGY BHD	5054	CONSTRUCTION	Others
TRI-MODE SYSTEM (M) BERHAD	199	UNKNOWN	Others
TRIVE PROPERTY GROUP BERHAD	118	UNKNOWN	Others
TROPICANA CORPORATION BERHAD	5401	PROPERTY	Others
TSH RESOURCES BHD	9059	PLANTATION	Others
TSR CAPITAL BHD	5042	UNKNOWN	Others
TUNE PROTECT GROUP BERHAD	5230	FINANCIAL SERVICES	Others
TURBO-MECH BERHAD	5167	UNKNOWN	Others
TURIYA BHD	4359	UNKNOWN	Others
UCHI TECHNOLOGIES BHD	7100	INDUSTRIAL PRODUCTS & SERVICES	Others
UCREST BERHAD	5	UNKNOWN	Others
UEM EDGENTA BERHAD	1368	UNKNOWN	Others
UEM SUNRISE BERHAD	5148	UNKNOWN	Others
UMS HOLDINGS BHD	7137	UNKNOWN	Others
UMS-NEIKEN GROUP BHD	7227	UNKNOWN	Others
UMW HOLDINGS BHD	4588	UNKNOWN	Others
UNI WALL APS HOLDINGS BERHAD	3017	UNKNOWN	Others
UNIMECH GROUP BHD	7091	UNKNOWN	Others
UNISEM (M) BHD	5005	UNKNOWN	Others
UNITED MALACCA BHD	2593	PLANTATION	Others
UNITED PLANTATIONS BHD	2089	UNKNOWN	Others
UNITED U-LI CORPORATION BHD	7133	UNKNOWN	Others
UOA DEVELOPMENT BERHAD	5200	UNKNOWN	Others
UOA REITS	5110	UNKNOWN	Others
UPA CORPORATION BHD	7757	UNKNOWN	Others
UTUSAN MELAYU (M) BHD	5754	UNKNOWN	Others
UZMA BHD	7250	UNKNOWN	Others
V.S INDUSTRY BHD	6963	INDUSTRIAL PRODUCTS & SERVICES	Others
VELESTO ENERGY BERHAD	5243	ENERGY	Others
VERSATILE CREATIVE BHD	4995	UNKNOWN	Others
VERTICE BERHAD	7240	UNKNOWN	Others
VISDYNAMICS HOLDINGS BHD	120	UNKNOWN	Others
VITROX CORPORATION BHD	97	UNKNOWN	Others
VIVOCOM INTL HOLDINGS BERHAD	69	UNKNOWN	Others
VIZIONE HOLDINGS BERHAD	7070	CONSTRUCTION	Others
VORTEX CONSOLIDATED BERHAD	60	UNKNOWN	Others
VSOLAR GROUP BERHAD	66	UNKNOWN	Others
VSTECS BERHAD	5162	UNKNOWN	Others
WAH SEONG CORPORATION BHD	5142	ENERGY	Others
WANG-ZHENG BHD	7203	UNKNOWN	Others
WARISAN TC HOLDINGS BHD	5016	UNKNOWN	Others
WATTA HOLDING BHD	7226	UNKNOWN	Others
WCE HOLDINGS BERHAD	3565	CONSTRUCTION	Others
WCT HOLDINGS BERHAD	9679	CONSTRUCTION	Others
WEGMANS HOLDINGS BERHAD	197	UNKNOWN	Others
WELLCALL HOLDINGS BHD	7231	INDUSTRIAL PRODUCTS & SERVICES	Others
WESTPORTS HOLDINGS BERHAD	5246	UNKNOWN	Others
WHITE HORSE BHD	5009	INDUSTRIAL PRODUCTS & SERVICES	Others
WIDAD GROUP BERHAD	162	CONSTRUCTION	Others
WIDETECH (M) BHD	7692	UNKNOWN	Others
WILLOWGLEN MSC BHD	8	TECHNOLOGY	Others
WINTONI GROUP BHD	141	UNKNOWN	Others
WMG HOLDINGS BERHAD	6378	UNKNOWN	Others
WONG ENGINEERING CORPORATION	7050	UNKNOWN	Others
WOODLANDOR HOLDINGS BHD	7025	UNKNOWN	Others
WTK HOLDINGS BHD	4243	INDUSTRIAL PRODUCTS & SERVICES	Others
WZ SATU BERHAD	7245	UNKNOWN	Others
XIAN LENG HOLDINGS BHD	7121	UNKNOWN	Others
XIDELANG HOLDINGS LTD	5156	CONSUMER PRODUCTS & SERVICES	Others
XIN HWA HOLDINGS BERHAD	5267	UNKNOWN	Others
XINGHE HOLDINGS BERHAD	95	UNKNOWN	Others
XINGQUAN INT SPORTS HLDG LTD	5155	UNKNOWN	Others
XOX BHD	165	UNKNOWN	Others
Y&G CORPORATION BHD	7003	UNKNOWN	Others
Y.S.P.SOUTHEAST ASIA HOLDING	7178	HEALTH CARE	Others
YBS INTERNATIONAL BERHAD	25	UNKNOWN	Others
YEE LEE CORPORATION BHD	5584	CONSUMER PRODUCTS & SERVICES	Others
YFG BERHAD	7122	UNKNOWN	Others
YGL CONVERGENCE BHD	86	UNKNOWN	Others
YI-LAI BHD	5048	UNKNOWN	Others
YINSON HOLDINGS BHD	7293	UNKNOWN	Others
YKGI HOLDINGS BERHAD	7020	UNKNOWN	Others
YLI HOLDINGS BHD	7014	UNKNOWN	Others
YNH PROPERTY BHD	3158	PROPERTY	Others
YONG TAI BHD	7066	UNKNOWN	Others
YOONG ONN CORPORATION BERHAD	5159	UNKNOWN	Others
YTL CORPORATION BHD	4677	UNKNOWN	Others
YTL HOSPITALITY REIT	5109	UNKNOWN	Others
YTL LAND & DEVELOPMENT BHD	2577	PROPERTY	Others
YTL POWER INTERNATIONAL BHD	6742	UNKNOWN	Others
ZECON BHD	7028	UNKNOWN	Others
ZELAN BHD	2283	UNKNOWN	Others
ZHULIAN CORPORATION BHD	5131	CONSUMER PRODUCTS & SERVICES	Others
DUOPHARMA BIOTECH BERHAD	7148	HEALTH CARE	Others
DWL RESOURCES BERHAD	7165	UNKNOWN	Others
DYNACIATE GROUP BERHAD	5178	UNKNOWN	Others
MERIDIAN BERHAD	5040	UNKNOWN	Others
MSCM HOLDINGS BERHAD	41	UNKNOWN	Others
