Company	Stock_Code	Industry	Index
C.I. HOLDINGS BHD	2828	CONSUMER PRODUCTS & SERVICES	Others
CAB CAKARAN CORPORATION BHD	7174	CONSUMER PRODUCTS & SERVICES	Others
CABNET HOLDINGS BERHAD	191	UNKNOWN	Others
CAELY HOLDINGS BHD	7154	UNKNOWN	Others
CAHYA MATA SARAWAK BHD	2852	UNKNOWN	Others
CAM RESOURCES BHD	7128	UNKNOWN	Others
CAN-ONE BHD	5105	INDUSTRIAL PRODUCTS & SERVICES	Others
CAPITALAND MALAYSIA MALL TRUST	5180	UNKNOWN	Others
CAREPLUS GROUP BERHAD	163	UNKNOWN	Others
CARIMIN PETROLEUM BERHAD	5257	UNKNOWN	Others
CARING PHARMACY GROUP BERHAD	5245	CONSUMER PRODUCTS & SERVICES	Others
CARLSBERG BREWERY MALAYSIA BHD	2836	UNKNOWN	Others
CB INDUSTRIAL PRODUCT HOLDING	7076	INDUSTRIAL PRODUCTS & SERVICES	Others
CCK CONSOLIDATED HOLDINGS BHD	7035	CONSUMER PRODUCTS & SERVICES	Others
CCM DUOPHARMA BIOTECH BHD	7148	HEALTH CARE	Others
CENSOF HOLDINGS BERHAD	5195	UNKNOWN	Others
CENTRAL INDUSTRIAL CORPORATION	8052	UNKNOWN	Others
CEPATWAWASAN GROUP BHD	8982	UNKNOWN	Others
CHEETAH HOLDINGS BHD	7209	UNKNOWN	Others
CHEMICAL COMPANY OF MALAYSIA	2879	INDUSTRIAL PRODUCTS & SERVICES	Others
CHIN HIN GROUP BERHAD	5273	INDUSTRIAL PRODUCTS & SERVICES	Others
CHIN HIN GROUP PROPERTY BERHAD	7187	UNKNOWN	Others
CHIN TECK PLANTATIONS BHD	1929	PLANTATION	Others
CHIN WELL HOLDINGS BHD	5007	INDUSTRIAL PRODUCTS & SERVICES	Others
CHINA AUTOMOBILE PARTS HLD LTD	5229	UNKNOWN	Others
CHINA OUHUA WINERY HLDGS LTD	5188	UNKNOWN	Others
CHINA STATIONERY LIMITED	5214	UNKNOWN	Others
CHOO BEE METAL INDUSTRIES BHD	5797	UNKNOWN	Others
CHUAN HUAT RESOURCES BHD	7016	UNKNOWN	Others
CJ CENTURY LOGISTICS HOLDINGS BERHAD	7117	UNKNOWN	Others
CLASSIC SCENIC BHD	7202	UNKNOWN	Others
CLIQ ENERGY BERHAD	5234	SPECIAL PURPOSE ACQUISITION COMPANY	Others
CLOUDARON GROUP BERHAD	3001	TECHNOLOGY	Others
CME GROUP BHD	7018	UNKNOWN	Others
CN ASIA CORPORATION BHD	7986	UNKNOWN	Others
CNI HOLDINGS BHD	5104	UNKNOWN	Others
COASTAL CONTRACTS BHD	5071	ENERGY	Others
COCOALAND HOLDINGS BHD	7205	CONSUMER PRODUCTS & SERVICES	Others
COMFORT GLOVES BERHAD	2127	INDUSTRIAL PRODUCTS & SERVICES	Others
COMINTEL CORPORATION BHD	7195	UNKNOWN	Others
COMPLETE LOGISTIC SERVICES BHD	5136	UNKNOWN	Others
