Company	Stock_Code	Open	High	Low	Last	Chg_Perc	Vol_in'00	Buy	Buy_Vol_in'00	Sell	Sell_Vol_in'00	Date	Time	Day
STRAITS INTER LOGISTICS BERHAD - WARRANTS 2017/2022	0080WA	0.14	0.14	0.14	0.14	3.7	"14,769"	0.14	809	0.145	"29,994"	27-Feb-19	10:36 AM	Wednesday
SUBUR TIASA HOLDINGS BHD	6904	-	-	-	0.525	0	0	0.525	100	0.55	40	27-Feb-19	10:36 AM	Wednesday
SUCCESS TRANSFORMER CORP BHD	7207	0.57	0.63	0.57	0.625	13.64	"36,909"	0.625	40	0.63	555	27-Feb-19	10:36 AM	Wednesday
SUIWAH CORPORATION BHD	9865	-	-	-	2.69	0	0	2.67	54	2.69	130	27-Feb-19	10:36 AM	Wednesday
SUMATEC RESOURCES BHD	1201	0.005	0.01	0.005	0.005	-50	"2,760"	0.005	"3,284,044"	0.01	"507,948"	27-Feb-19	10:36 AM	Wednesday
SUMATEC RES BHD-WARRANTS 11/21	1201WA	-	-	-	0.005	0	0	0.005	486	0.01	"12,842"	27-Feb-19	10:36 AM	Wednesday
SUNWAY CONSTRUCTION GROUP BERHAD	5263	1.79	1.79	1.74	1.76	0	"1,444"	1.75	597	1.76	97	27-Feb-19	10:36 AM	Wednesday
SUNCON-CS: CW SUNWAY CONSTRUCTION GROUP BERHAD (RHB)	5263CS	-	-	-	0.005	0	0	0	0	0	0	27-Feb-19	10:36 AM	Wednesday
SUNCON-CT: CW SUNWAY CONSTRUCTION GROUP BERHAD (KIBB)	5263CT	-	-	-	0.005	0	0	0	0	0.005	"2,000"	27-Feb-19	10:36 AM	Wednesday
SUNCON-CU: CW SUNWAY CONSTRUCTION GROUP BERHAD (MIBB)	5263CU	-	-	-	0.055	0	0	0.055	800	0.065	800	27-Feb-19	10:36 AM	Wednesday
SUNCON-CV: CW SUNWAY CONSTRUCTION GROUP BERHAD (AM)	5263CV	-	-	-	0.03	0	0	0.035	"3,000"	0.04	"3,000"	27-Feb-19	10:36 AM	Wednesday
SUNWAY REAL ESTATE INVT TRUST	5176	1.77	1.77	1.75	1.76	1.15	"1,150"	1.75	"2,066"	1.76	"1,282"	27-Feb-19	10:36 AM	Wednesday
SUNSURIA BERHAD	3743	-	-	-	0.64	0	0	0.64	40	0.655	87	27-Feb-19	10:36 AM	Wednesday
SUNSURIA BERHAD - WARRANTS A 2015/2020	3743WA	-	-	-	0.05	0	0	0.045	830	0.07	200	27-Feb-19	10:36 AM	Wednesday
SUNWAY BERHAD	5211	1.66	1.66	1.65	1.65	-0.6	115	1.65	"4,235"	1.66	"1,035"	27-Feb-19	10:36 AM	Wednesday
SUNWAY-CQ: CW SUNWAY BERHAD (RHB)	5211CQ	-	-	-	0.005	0	0	0	0	0	0	27-Feb-19	10:36 AM	Wednesday
SUNWAY-CR: CW SUNWAY BERHAD (KIBB)	5211CR	-	-	-	0.035	0	0	0.025	"2,000"	0.03	"2,000"	27-Feb-19	10:36 AM	Wednesday
SUNWAY-CS: CW SUNWAY BERHAD (AM)	5211CS	-	-	-	0.035	0	0	0.025	"4,000"	0.03	"4,000"	27-Feb-19	10:36 AM	Wednesday
SUNWAY BERHAD - WARRANTS 2017/2024	5211WB	0.285	0.285	0.285	0.285	0	29	0.285	"2,202"	0.29	"1,099"	27-Feb-19	10:36 AM	Wednesday
SUNZEN BIOTECH BHD	148	-	-	-	0.17	0	0	0.16	500	0.17	"1,818"	27-Feb-19	10:36 AM	Wednesday
SUNZEN BIOTECH BERHAD-Warrants 2014/2019	0148WA	-	-	-	0.06	0	0	0.06	200	0.07	88	27-Feb-19	10:36 AM	Wednesday
SUNZEN BIOTECH BERHAD - WARRANTS B 2016/2021	0148WB	-	-	-	0.035	0	0	0.03	"3,397"	0.04	"2,160"	27-Feb-19	10:36 AM	Wednesday
SUPERLON HOLDINGS BHD	7235	1.33	1.34	1.33	1.34	0.75	169	1.33	308	1.34	1	27-Feb-19	10:36 AM	Wednesday
SUPERMAX CORPORATION BHD	7106	1.56	1.56	1.54	1.54	-1.28	"12,375"	1.54	"2,620"	1.55	285	27-Feb-19	10:36 AM	Wednesday
SUPERMX-C47: CW SUPERMAX CORPORATION BERHAD (RHB)	710647	-	-	-	0.005	0	0	0	0	0	0	27-Feb-19	10:36 AM	Wednesday
SUPERMX-C48: CW SUPERMAX CORPORATION BERHAD (CIMB)	710648	-	-	-	0.005	0	0	0	0	0.005	"17,926"	27-Feb-19	10:36 AM	Wednesday
SUPERMX-C50: CW SUPERMAX CORPORATION BERHAD (MACQ)	710650	-	-	-	0.005	0	0	0	0	0.01	"1,000"	27-Feb-19	10:36 AM	Wednesday
SUPERMX-C51: CW SUPERMAX CORPORATION BERHAD (AM)	710651	-	-	-	0.005	0	0	0	0	0.005	"21,292"	27-Feb-19	10:36 AM	Wednesday
SUPERMX-C52: CW SUPERMAX CORPORATION BERHAD (MACQ)	710652	0.035	0.035	0.035	0.035	-12.5	699	0.03	"12,092"	0.035	100	27-Feb-19	10:36 AM	Wednesday
SUPERMX-C53: CW SUPERMAX CORPORATION BERHAD (MACQ)	710653	-	-	-	0.005	0	0	0.005	"10,784"	0.01	"3,550"	27-Feb-19	10:36 AM	Wednesday
SUPERMX-C54: CW SUPERMAX CORPORATION BERHAD (MIBB)	710654	-	-	-	0.095	0	0	0.06	"1,000"	0.07	"1,000"	27-Feb-19	10:36 AM	Wednesday
SUPERMX-C55: CW SUPERMAX CORPORATION BERHAD (CIMB)	710655	0.055	0.055	0.055	0.055	0	300	0.05	"2,000"	0.055	"1,000"	27-Feb-19	10:36 AM	Wednesday
SUPERMX-C56: CW SUPERMAX CORPORATION BERHAD (RHB)	710656	0.115	0.115	0.115	0.115	0	"4,220"	0.11	"10,002"	0.115	"3,000"	27-Feb-19	10:36 AM	Wednesday
SUPERMX-C57: CW SUPERMAX CORPORATION BERHAD (MACQ)	710657	0.105	0.105	0.1	0.1	-4.76	"2,100"	0.1	"4,645"	0.105	100	27-Feb-19	10:36 AM	Wednesday
SUPERMX-C58: CW SUPERMAX CORPORATION BERHAD (KIBB)	710658	-	-	-	0.075	0	0	0.07	"5,000"	0.075	750	27-Feb-19	10:36 AM	Wednesday
SUPERMX-C59: CW SUPERMAX CORPORATION BERHAD (CIMB)	710659	-	-	-	0.095	0	0	0.09	400	0.1	718	27-Feb-19	10:36 AM	Wednesday
SUPERMX-C60: CW SUPERMAX CORPORATION BERHAD (RHB)	710660	-	-	-	0.055	0	0	0.05	"3,000"	0.055	"3,000"	27-Feb-19	10:36 AM	Wednesday
SUPERMX-C61: CW SUPERMAX CORPORATION BERHAD (AM)	710661	-	-	-	0.045	0	0	0.035	"5,000"	0.04	"5,000"	27-Feb-19	10:36 AM	Wednesday
SUPERMX-C62: CW SUPERMAX CORPORATION BERHAD (MACQ)	710662	0.075	0.08	0.075	0.08	0	"3,005"	0.075	"14,375"	0.08	"2,000"	27-Feb-19	10:36 AM	Wednesday
SUPREME CONSOLIDATED RESOURCES BERHAD	3018	-	-	-	0.68	0	0	0	0	0.65	200	27-Feb-19	10:36 AM	Wednesday
SURIA CAPITAL HOLDINGS BHD	6521	1.46	1.47	1.46	1.47	0.68	89	1.46	4	1.47	99	27-Feb-19	10:36 AM	Wednesday
SARAWAK PLANTATION BHD	5135	-	-	-	1.58	0	0	1.57	100	1.65	100	27-Feb-19	10:36 AM	Wednesday
SWS CAPITAL BERHAD	7186	0.67	0.67	0.66	0.66	-5.04	230	0.645	90	0.675	50	27-Feb-19	10:36 AM	Wednesday
SWS CAPITAL BERHAD - WARRANTS 2018/2023	7186WB	-	-	-	0.07	0	0	0.065	"1,610"	0.07	"1,100"	27-Feb-19	10:36 AM	Wednesday
SYCAL VENTURES BHD	9717	-	-	-	0.235	0	0	0.225	500	0.235	363	27-Feb-19	10:36 AM	Wednesday
SYF RESOURCES BHD	7082	-	-	-	0.22	0	0	0.215	149	0.225	300	27-Feb-19	10:36 AM	Wednesday
SYF RESOURCES BERHAD-WARRANTS 2014/2019	7082WB	-	-	-	0.015	0	0	0.01	"18,426"	0.015	183	27-Feb-19	10:36 AM	Wednesday
SYMPHONY LIFE BERHAD	1538	0.39	0.39	0.39	0.39	0	500	0.385	300	0.39	79	27-Feb-19	10:36 AM	Wednesday
SYMPHONY LIFE BERHAD-WB 13/20	1538WB	0.03	0.03	0.03	0.03	-14.29	100	0.025	"13,767"	0.03	430	27-Feb-19	10:36 AM	Wednesday
SHIN YANG SHIPPING CORP BHD	5173	0.315	0.315	0.31	0.31	-1.59	"1,301"	0.305	215	0.31	201	27-Feb-19	10:36 AM	Wednesday
SYSTECH BHD	50	0.23	0.23	0.23	0.23	-2.13	80	0.22	"1,650"	0.23	300	27-Feb-19	10:36 AM	Wednesday
T7 GLOBAL BERHAD	7228	0.43	0.43	0.425	0.425	-2.3	888	0.425	50	0.43	479	27-Feb-19	10:36 AM	Wednesday
TA ENTERPRISE BHD	4898	0.655	0.66	0.655	0.66	0.76	"1,609"	0.655	494	0.66	969	27-Feb-19	10:36 AM	Wednesday
TA ANN HOLDINGS BHD	5012	2.48	2.5	2.48	2.5	0	105	2.48	3	2.5	30	27-Feb-19	10:36 AM	Wednesday
TAANN-CM: CW TA ANN HOLDINGS BERHAD (KIBB)	5012CM	-	-	-	0.08	0	0	0.04	100	0.05	200	27-Feb-19	10:36 AM	Wednesday
TADMAX RESOURCES BERHAD	4022	0.24	0.24	0.24	0.24	0	"3,044"	0.235	"3,290"	0.24	"3,000"	27-Feb-19	10:36 AM	Wednesday
TAFI INDUSTRIES BHD	7211	-	-	-	0.325	0	0	0.265	100	0.33	90	27-Feb-19	10:36 AM	Wednesday
TA GLOBAL BHD	5158	0.265	0.265	0.265	0.265	0	"4,166"	0.265	872	0.27	"1,538"	27-Feb-19	10:36 AM	Wednesday
SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD	6139	4.37	4.45	4.37	4.45	1.14	176	4.44	1	4.45	68	27-Feb-19	10:36 AM	Wednesday
TALAM TRANSFORM BERHAD	2259	0.035	0.035	0.03	0.03	-14.29	"18,558"	0.03	"409,649"	0.035	"6,881"	27-Feb-19	10:36 AM	Wednesday
TALIWORKS CORPORATION BHD	8524	0.87	0.87	0.865	0.865	-0.57	402	0.865	124	0.87	367	27-Feb-19	10:36 AM	Wednesday
TAMBUN INDAH LAND BERHAD	5191	0.78	0.78	0.775	0.775	0	464	0.77	207	0.775	46	27-Feb-19	10:36 AM	Wednesday
TANCO HOLDINGS BHD	2429	-	-	-	0.055	0	0	0.055	"92,735"	0.06	"45,231"	27-Feb-19	10:36 AM	Wednesday
TANCO HOLDINGS BERHAD - WARRANTS B 2018/2021	2429WB	-	-	-	0.025	0	0	0.025	"8,761"	0.03	50	27-Feb-19	10:36 AM	Wednesday
TAS OFFSHORE BERHAD	5149	0.26	0.26	0.26	0.26	-7.14	120	0.26	280	0.28	125	27-Feb-19	10:36 AM	Wednesday
TASCO BERHAD	5140	1.34	1.34	1.34	1.34	0	100	1.34	300	1.43	50	27-Feb-19	10:36 AM	Wednesday
TASEK CORPORATION BHD	4448	-	-	-	4.7	0	0	4.61	10	4.95	7	27-Feb-19	10:36 AM	Wednesday
TASEK CORPORATION BERHAD - 6% PREFERENCE	4448P	-	-	-	10.1	0	0	8.1	1	10.8	20	27-Feb-19	10:36 AM	Wednesday
TATT GIAP GROUP BERHAD	5178	0.095	0.1	0.09	0.1	5.26	"15,841"	0.095	"16,570"	0.1	"87,298"	27-Feb-19	10:36 AM	Wednesday
TATT GIAP GROUP BERHAD - IRREDEEMABLE CONVERTIBLE PREFERENCE SHARES 2018/2023	5178PA	-	-	-	0.045	0	0	0.045	"611,946"	0.05	"50,014"	27-Feb-19	10:36 AM	Wednesday
TATT GIAP GROUP BERHAD - WARRANTS 2018/2023	5178WA	0.04	0.04	0.04	0.04	0	250	0.035	"49,053"	0.04	"15,700"	27-Feb-19	10:36 AM	Wednesday
TA WIN HOLDINGS BHD	7097	0.47	0.47	0.47	0.47	0	"1,100"	0.46	300	0.47	400	27-Feb-19	10:36 AM	Wednesday
TAN CHONG MOTOR HOLDINGS BHD	4405	1.72	1.75	1.69	1.69	-0.59	711	1.69	61	1.7	76	27-Feb-19	10:36 AM	Wednesday
TECHNODEX BHD	132	0.075	0.08	0.075	0.08	0	"11,150"	0.07	"4,600"	0.08	"4,150"	27-Feb-19	10:36 AM	Wednesday
TDM BHD	2054	0.19	0.19	0.19	0.19	0	"1,530"	0.19	"4,180"	0.195	"6,359"	27-Feb-19	10:36 AM	Wednesday
TECHFAST HOLDINGS BHD	84	0.335	0.355	0.33	0.355	5.97	"6,623"	0.35	4	0.355	237	27-Feb-19	10:36 AM	Wednesday
TECK GUAN PERDANA BHD	7439	-	-	-	0.82	0	0	0.775	70	0.85	20	27-Feb-19	10:36 AM	Wednesday
TECHBOND GROUP BERHAD	5289	0.83	0.845	0.83	0.835	0.6	839	0.835	288	0.84	342	27-Feb-19	10:36 AM	Wednesday
TEK SENG HOLDINGS BHD	7200	0.25	0.25	0.25	0.25	-1.96	50	0.25	409	0.255	200	27-Feb-19	10:36 AM	Wednesday
TEK SENG HOLDINGS BERHAD - WARRANTS 2015/2020	7200WA	0.075	0.075	0.075	0.075	-6.25	500	0.07	"1,500"	0.075	301	27-Feb-19	10:36 AM	Wednesday
TENAGA NASIONAL BHD	5347	13.44	13.44	13.38	13.44	0	745	13.42	96	13.44	204	27-Feb-19	10:36 AM	Wednesday
TENAGA-C47: CW TENAGA NASIONAL BERHAD (MIBB)	534747	-	-	-	0.05	0	0	0.01	"1,000"	0.02	"1,000"	27-Feb-19	10:36 AM	Wednesday
TENAGA-C49: CW TENAGA NASIONAL BERHAD (MACQ)	534749	-	-	-	0.01	0	0	0.005	"2,000"	0.02	100	27-Feb-19	10:36 AM	Wednesday
TENAGA-C50: CW TENAGA NASIONAL BERHAD (MACQ)	534750	-	-	-	0.075	0	0	0.07	"2,000"	0.075	"5,000"	27-Feb-19	10:36 AM	Wednesday
TENAGA-C51: CW TENAGA NASIONAL BERHAD (CIMB)	534751	0.05	0.05	0.05	0.05	0	102	0.05	"9,998"	0.055	"5,346"	27-Feb-19	10:36 AM	Wednesday
TENAGA-C52: CW TENAGA NASIONAL BERHAD (RHB)	534752	-	-	-	0.04	0	0	0.04	"5,000"	0.045	"5,000"	27-Feb-19	10:36 AM	Wednesday
TENAGA-C53: CW TENAGA NASIONAL BERHAD (KIBB)	534753	-	-	-	0.09	0	0	0.08	"1,600"	0.085	"3,600"	27-Feb-19	10:36 AM	Wednesday
TENCENT-C7: CW TENCENT HOLDINGS LIMITED (RHB)	0546C7	0.17	0.17	0.17	0.17	0	"12,000"	0.165	"5,000"	0.17	"5,000"	27-Feb-19	10:36 AM	Wednesday
TEO SENG CAPITAL BHD	7252	1.27	1.3	1.27	1.3	2.36	"2,446"	1.3	1	1.31	349	27-Feb-19	10:36 AM	Wednesday
TEO SENG CAPITAL BERHAD - Warrants 2015/2020	7252WA	-	-	-	0.325	0	0	0.32	232	0.35	400	27-Feb-19	10:36 AM	Wednesday
TEXCHEM RESOURCES BHD	8702	-	-	-	0.625	0	0	0.62	100	0.67	10	27-Feb-19	10:36 AM	Wednesday
TEX CYCLE TECHNOLOGY (M) BHD	89	-	-	-	0.555	0	0	0.52	100	0.55	245	27-Feb-19	10:36 AM	Wednesday
TFP SOLUTIONS BHD	145	-	-	-	0.095	0	0	0.09	"2,450"	0.095	150	27-Feb-19	10:36 AM	Wednesday
TEO GUAN LEE CORPORATION BHD	9369	-	-	-	0.96	0	0	0.95	20	1.05	30	27-Feb-19	10:36 AM	Wednesday
THONG GUAN INDUSTRIES BHD	7034	2.36	2.36	2.36	2.36	0	21	2.35	40	2.36	74	27-Feb-19	10:36 AM	Wednesday
THONG GUAN INDUSTRIES BERHAD - ICULS 2014/2019	7034LA	-	-	-	2.25	0	0	2.28	100	0	0	27-Feb-19	10:36 AM	Wednesday
THONG GUAN INDUSTRIES BERHAD - WARRANTS A 2014/2019	7034WA	0.835	0.835	0.83	0.83	-1.19	100	0.82	30	0.84	100	27-Feb-19	10:36 AM	Wednesday
THETA EDGE BERHAD	9075	0.41	0.415	0.41	0.415	2.47	"1,079"	0.41	125	0.415	276	27-Feb-19	10:36 AM	Wednesday
TH HEAVY ENGINEERING BERHAD	7206	0.045	0.045	0.045	0.045	0	"14,073"	0.045	"41,127"	0.05	"41,512"	27-Feb-19	10:36 AM	Wednesday
TH HEAVY ENGINEERING BERHAD-ISLAMIC IRREDEEMABLE CONVERTIBLE PREFERENCE SHARES 15/20	7206PB	-	-	-	0.015	0	0	0.015	866	0.065	264	27-Feb-19	10:36 AM	Wednesday
TH PLANTATIONS BHD	5112	0.57	0.58	0.57	0.57	0	155	0.565	150	0.57	65	27-Feb-19	10:36 AM	Wednesday
THRIVEN GLOBAL BERHAD	7889	-	-	-	0.215	0	0	0.215	30	0.22	363	27-Feb-19	10:36 AM	Wednesday
